# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             344   N   000004f8   0000412d   000004fa   ---        --------
             345   N   000004fa   002081b3   000004fc   x02_sp     0000000b
             346   N   000004fc   00000205   00000500   x03_gp     0000001a
             347   N   00000500   00004289   00000502   x04_tp     00000001
             348   N   00000502   fe5218e3   00000504   x05_t0     00000002
             349   N   00000504   00004ee9   000004f4   ---        --------
             352   N   000004f4   00000001   000004f6   x01_ra     0000000f
             353   N   000004f6   00000001   000004f8   ---        --------
             354   N   000004f8   0000412d   000004fa   ---        --------
             355   N   000004fa   002081b3   000004fc   x02_sp     0000000b
             356   N   000004fc   00000205   00000500   x03_gp     0000001a
             357   N   00000500   00004289   00000502   x04_tp     00000002
             358   N   00000502   fe5218e3   00000504   x05_t0     00000002
             359   N   00000504   00004ee9   00000508   ---        --------
             360   N   00000508   00004e71   0000050a   x29_t4     0000001a
             361   N   0000050a   0fd19e63   0000050c   x28_t3     0000001c
             362   N   0000050c   00004201   00000510   ---        --------
             363   N   00000510   0000412d   00000512   x04_tp     00000000
             364   N   00000512   000040b5   00000514   x02_sp     0000000b
             365   N   00000514   002081b3   00000516   x01_ra     0000000d
             366   N   00000516   00000205   0000051a   x03_gp     00000018
             367   N   0000051a   00004289   0000051c   x04_tp     00000001
             368   N   0000051c   fe521ae3   0000051e   x05_t0     00000002
             369   N   0000051e   00004ee1   00000512   ---        --------
             372   N   00000512   000040b5   00000514   x02_sp     0000000b
             373   N   00000514   002081b3   00000516   x01_ra     0000000d
             374   N   00000516   00000205   0000051a   x03_gp     00000018
             375   N   0000051a   00004289   0000051c   x04_tp     00000002
             376   N   0000051c   fe521ae3   0000051e   x05_t0     00000002
             377   N   0000051e   00004ee1   00000522   ---        --------
             378   N   00000522   00004e75   00000524   x29_t4     00000018
             379   N   00000524   0fd19163   00000526   x28_t3     0000001d
             380   N   00000526   00004201   0000052a   ---        --------
             381   N   0000052a   0000412d   0000052c   x04_tp     00000000
             382   N   0000052c   000040b9   0000052e   x02_sp     0000000b
             383   N   0000052e   00000001   00000530   x01_ra     0000000e
             384   N   00000530   002081b3   00000532   ---        --------
             385   N   00000532   00000205   00000536   x03_gp     00000019
             386   N   00000536   00004289   00000538   x04_tp     00000001
             387   N   00000538   fe5219e3   0000053a   x05_t0     00000002
             388   N   0000053a   00004ee5   0000052c   ---        --------
             391   N   0000052c   000040b9   0000052e   x02_sp     0000000b
             392   N   0000052e   00000001   00000530   x01_ra     0000000e
             393   N   00000530   002081b3   00000532   ---        --------
             394   N   00000532   00000205   00000536   x03_gp     00000019
             395   N   00000536   00004289   00000538   x04_tp     00000002
             396   N   00000538   fe5219e3   0000053a   x05_t0     00000002
             397   N   0000053a   00004ee5   0000053e   ---        --------
             398   N   0000053e   00004e79   00000540   x29_t4     00000019
             399   N   00000540   0dd19363   00000542   x28_t3     0000001e
             400   N   00000542   00004201   00000546   ---        --------
             401   N   00000546   0000412d   00000548   x04_tp     00000000
             402   N   00000548   000040bd   0000054a   x02_sp     0000000b
             403   N   0000054a   00000001   0000054c   x01_ra     0000000f
             404   N   0000054c   00000001   0000054e   ---        --------
             405   N   0000054e   002081b3   00000550   ---        --------
             406   N   00000550   00000205   00000554   x03_gp     0000001a
             407   N   00000554   00004289   00000556   x04_tp     00000001
             408   N   00000556   fe5218e3   00000558   x05_t0     00000002
             409   N   00000558   00004ee9   00000548   ---        --------
             412   N   00000548   000040bd   0000054a   x02_sp     0000000b
             413   N   0000054a   00000001   0000054c   x01_ra     0000000f
             414   N   0000054c   00000001   0000054e   ---        --------
             415   N   0000054e   002081b3   00000550   ---        --------
             416   N   00000550   00000205   00000554   x03_gp     0000001a
             417   N   00000554   00004289   00000556   x04_tp     00000002
             418   N   00000556   fe5218e3   00000558   x05_t0     00000002
             419   N   00000558   00004ee9   0000055c   ---        --------
             420   N   0000055c   00004e7d   0000055e   x29_t4     0000001a
             421   N   0000055e   0bd19463   00000560   x28_t3     0000001f
             422   N   00000560   00004201   00000564   ---        --------
             423   N   00000564   0000412d   00000566   x04_tp     00000000
             424   N   00000566   00000001   00000568   x02_sp     0000000b
             425   N   00000568   000040b5   0000056a   ---        --------
             426   N   0000056a   002081b3   0000056c   x01_ra     0000000d
             427   N   0000056c   00000205   00000570   x03_gp     00000018
             428   N   00000570   00004289   00000572   x04_tp     00000001
             429   N   00000572   fe5219e3   00000574   x05_t0     00000002
             430   N   00000574   00004ee1   00000566   ---        --------
             433   N   00000566   00000001   00000568   x02_sp     0000000b
             434   N   00000568   000040b5   0000056a   ---        --------
             435   N   0000056a   002081b3   0000056c   x01_ra     0000000d
             436   N   0000056c   00000205   00000570   x03_gp     00000018
             437   N   00000570   00004289   00000572   x04_tp     00000002
             438   N   00000572   fe5219e3   00000574   x05_t0     00000002
